gbifID,kingdom,species,locality,occurrenceStatus,lat,long,xy_uncert_m,eventDate,collectionCode,issue
2005543312,Plantae,Fontinalis antipyretica,Pools ca 12 mi. S. of Garibaldi Station,PRESENT,49.793043,-123.15,17102,1977-10-09T00:00:00Z,,CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2005319217,Animalia,Aquila chrysaetos,,PRESENT,49.790611,-123.150185,85,2019-02-11T13:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1990643568,Plantae,Trifolium aureum,,PRESENT,49.778272,-123.145706,10,2017-07-09T07:39:57Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1987943911,Fungi,Tricholoma atroviolaceum,Squamish Community Forest,PRESENT,49.7852,-123.136,7,2015-10-15T00:00:00Z,UBCFungi,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE
1931477248,Fungi,Tremella mesenterica,,PRESENT,49.784807,-123.136661,61,2018-07-07T13:09:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1914228064,Fungi,Amanita muscaria,,PRESENT,49.775661,-123.148373,NA,2018-09-24T00:00:00Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1898784966,Plantae,Streptopus amplexifolius,,PRESENT,49.785858,-123.135834,61,2018-06-27T09:31:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1880591062,Plantae,Monotropa uniflora,,PRESENT,49.785193,-123.136167,246,2018-06-27T09:37:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1880591049,Plantae,Allotropa virgata,,PRESENT,49.785756,-123.135945,122,2018-06-27T00:00:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1880591019,Animalia,Corvus corax,,PRESENT,49.785256,-123.136874,244,2018-06-27T10:26:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1880590967,Plantae,Hemitomes congestum,,PRESENT,49.785747,-123.135738,105,2018-06-27T10:09:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1880590781,Plantae,Hypopitys monotropa,,PRESENT,49.786466,-123.135626,23,2018-06-27T09:08:00Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1847573167,Plantae,Hieracium maculatum,,PRESENT,49.781928,-123.146828,NA,2018-05-20T16:10:44Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1847573085,Plantae,Lonicera ciliosa,,PRESENT,49.7824,-123.147252,NA,2018-05-20T15:41:56Z,Observations,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
1847546542,Plantae,Hemitomes congestum,,PRESENT,49.776123,-123.149754,21,2016-06-20T13:54:27Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1847508475,Plantae,Maianthemum stellatum,,PRESENT,49.779823,-123.152704,171,2018-05-12T14:56:05Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
184461331,Animalia,Turdus migratorius,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
184458204,Animalia,Turdus migratorius,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
184409691,Animalia,Troglodytes pacificus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-21T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
184409470,Animalia,Troglodytes pacificus,Brackendale - Cheekye Fan,PRESENT,49.776333,-123.14773,NA,2008-03-16T00:00:00Z,EBIRD,CONTINENT_DERIVED_FROM_COORDINATES
1839208038,Plantae,Struthiopteris spicant,,PRESENT,49.779651,-123.14724,NA,2018-04-15T14:41:19Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
1838376258,Fungi,Peltigera membranacea,,PRESENT,49.776325,-123.147068,1394,2018-04-15T14:00:20Z,Observations,CONTINENT_DERIVED_FROM_COORDINATES
